Rank,Gold,Silver,Bronze,Total,CY,NOC
7,2,2,1,5,1984,Switzerland
8,2,1,1,4,1984,Canada
8,2,1,1,4,1984,West Germany
10,2,0,0,2,1984,Italy
11,1,0,0,1,1984,Great Britain
12,0,2,4,6,1984,Czechoslovakia
13,0,1,2,3,1984,France
14,0,1,0,1,1984,Japan
14,0,1,0,1,1984,Yugoslavia
16,0,0,2,2,1984,Liechtenstein
17,0,0,1,1,1984,Austria
1,11,9,9,29,1988,Soviet Union
2,9,10,6,25,1988,East Germany
3,5,5,5,15,1988,Switzerland
4,4,1,2,7,1988,Finland
5,4,0,2,6,1988,Sweden
6,3,5,2,10,1988,Austria
7,3,2,2,7,1988,Netherlands
8,2,4,2,8,1988,West Germany
9,2,1,3,6,1988,United States
10,2,1,2,5,1988,Italy
11,1,0,1,2,1988,France
12,0,3,2,5,1988,Norway
13,0,2,3,5,1988,Canada
14,0,2,1,3,1988,Yugoslavia
15,0,1,2,3,1988,Czechoslovakia
16,0,0,1,1,1988,Japan
16,0,0,1,1,1988,Liechtenstein
1,10,10,6,26,1992,Germany
2,9,6,8,23,1992,Unified Team
3,9,6,5,20,1992,Norway
4,6,7,8,21,1992,Austria
5,5,4,2,11,1992,United States
6,4,6,4,14,1992,Italy
7,3,5,1,9,1992,France
8,3,1,3,7,1992,Finland
9,2,3,2,7,1992,Canada
10,2,1,1,4,1992,South Korea
11,1,2,4,7,1992,Japan
12,1,1,2,4,1992,Netherlands
13,1,0,3,4,1992,Sweden
14,1,0,2,3,1992,Switzerland
15,0,3,0,3,1992,China
16,0,2,0,2,1992,Luxembourg
17,0,1,0,1,1992,New Zealand
18,0,0,3,3,1992,Czechoslovakia
19,0,0,1,1,1992,North Korea
19,0,0,1,1,1992,Spain
1,11,8,4,23,1994,Russia
2,10,11,5,26,1994,Norway
3,9,7,8,24,1994,Germany
4,7,5,8,20,1994,Italy
5,6,5,2,13,1994,United States
6,4,1,1,6,1994,South Korea
7,3,6,4,13,1994,Canada
8,3,4,2,9,1994,Switzerland
9,2,3,4,9,1994,Austria
10,2,1,0,3,1994,Sweden
11,1,2,2,5,1994,Japan
12,1,2,0,3,1994,Kazakhstan
13,1,0,1,2,1994,Ukraine
14,1,0,0,1,1994,Uzbekistan
15,0,2,0,2,1994,Belarus
16,0,1,5,6,1994,Finland
17,0,1,4,5,1994,France
18,0,1,3,4,1994,Netherlands
19,0,1,2,3,1994,China
20,0,0,3,3,1994,Slovenia
21,0,0,2,2,1994,Great Britain
22,0,0,1,1,1994,Australia
1,12,9,8,29,1998,Germany
2,10,10,5,25,1998,Norway
3,9,6,3,18,1998,Russia
4,6,5,4,15,1998,Canada
5,6,3,4,13,1998,United States
6,5,4,2,11,1998,Netherlands
7,5,1,4,10,1998,Japan
8,3,5,9,17,1998,Austria
9,3,1,2,6,1998,South Korea
10,2,6,2,10,1998,Italy
11,2,4,6,12,1998,Finland
12,2,2,3,7,1998,Switzerland
13,2,1,5,8,1998,France
14,1,1,1,3,1998,Czech Republic
15,1,0,0,1,1998,Bulgaria
16,0,6,2,8,1998,China
17,0,2,1,3,1998,Sweden
18,0,1,0,1,1998,Denmark
18,0,1,0,1,1998,Ukraine
20,0,0,2,2,1998,Belarus
20,0,0,2,2,1998,Kazakhstan
22,0,0,1,1,1998,Australia
22,0,0,1,1,1998,Belgium
22,0,0,1,1,1998,Great Britain
1,13,5,7,25,2002,Norway
2,12,16,8,36,2002,Germany
3,10,13,11,34,2002,United States
4,7,3,7,17,2002,Canada
5,5,4,4,13,2002,Russia
6,4,5,2,11,2002,France
7,4,4,5,13,2002,Italy
8,4,2,1,7,2002,Finland
9,3,5,0,8,2002,Netherlands
10,3,4,10,17,2002,Austria
11,3,2,6,11,2002,Switzerland
12,3,1,0,4,2002,Croatia
13,2,2,4,8,2002,China
14,2,2,0,4,2002,South Korea
15,2,0,0,2,2002,Australia
16,1,2,0,3,2002,Czech Republic
17,1,1,1,3,2002,Estonia
18,1,0,1,2,2002,Great Britain
19,0,2,5,7,2002,Sweden
20,0,1,2,3,2002,Bulgaria
21,0,1,1,2,2002,Japan
21,0,1,1,2,2002,Poland
23,0,0,1,1,2002,Belarus
23,0,0,1,1,2002,Slovenia
1,11,12,6,29,2006,Germany
2,9,9,7,25,2006,United States
3,9,7,7,23,2006,Austria
4,8,6,8,22,2006,Russia
5,7,10,7,24,2006,Canada
6,7,2,5,14,2006,Sweden
7,6,3,2,11,2006,South Korea
8,5,4,5,14,2006,Switzerland
9,5,0,6,11,2006,Italy
10,3,2,4,9,2006,France
10,3,2,4,9,2006,Netherlands
12,3,0,0,3,2006,Estonia
13,2,8,9,19,2006,Norway
14,2,4,5,11,2006,China
15,1,2,1,4,2006,Czech Republic
16,1,2,0,3,2006,Croatia
17,1,0,1,2,2006,Australia
18,1,0,0,1,2006,Japan
19,0,6,3,9,2006,Finland
20,0,1,1,2,2006,Poland
21,0,1,0,1,2006,Belarus
21,0,1,0,1,2006,Bulgaria
21,0,1,0,1,2006,Great Britain
21,0,1,0,1,2006,Slovakia
25,0,0,2,2,2006,Ukraine
26,0,0,1,1,2006,Latvia
1,14,7,5,26,2010,Canada
2,10,13,7,30,2010,Germany
3,9,15,13,37,2010,United States
4,9,8,6,23,2010,Norway
5,6,6,2,14,2010,South Korea
6,6,0,3,9,2010,Switzerland
7,5,2,5,12,2010,Sweden
8,5,2,4,11,2010,China
9,4,6,7,17,2010,Austria
10,4,1,3,8,2010,Netherlands
11,3,2,6,11,2010,France
12,2,5,6,13,2010,Russia
13,2,1,0,3,2010,Australia
14,2,0,4,6,2010,Czech Republic
15,1,3,2,6,2010,Poland
16,1,2,0,3,2010,Slovakia
17,1,1,3,5,2010,Italy
18,1,1,1,3,2010,Belarus
19,1,0,0,1,2010,Great Britain
20,0,3,2,5,2010,Japan
21,0,2,1,3,2010,Croatia
21,0,2,1,3,2010,Slovenia
23,0,2,0,2,2010,Latvia
24,0,1,4,5,2010,Finland
25,0,1,0,1,2010,Estonia
25,0,1,0,1,2010,Kazakhstan
1,11,6,10,27,2014,Norway
2,10,10,9,29,2014,Russia
3,10,10,5,25,2014,Canada
4,9,9,10,28,2014,United States
5,9,5,5,19,2014,Germany
6,8,7,9,24,2014,Netherlands
7,7,2,2,11,2014,Switzerland
8,5,0,1,6,2014,Belarus
9,4,9,4,17,2014,Austria
10,4,4,7,15,2014,France
11,4,1,1,6,2014,Poland
12,3,4,2,9,2014,China
13,3,3,2,8,2014,South Korea
14,2,7,6,15,2014,Sweden
15,2,4,3,9,2014,Czech Republic
16,2,2,4,8,2014,Slovenia
17,1,4,3,8,2014,Japan
18,1,3,1,5,2014,Finland
19,1,1,3,5,2014,Great Britain
19,1,1,3,5,2014,Latvia
21,1,0,1,2,2014,Ukraine
22,1,0,0,1,2014,Slovakia
23,0,2,6,8,2014,Italy
24,0,2,1,3,2014,Australia
25,0,1,0,1,2014,Croatia
26,0,0,1,1,2014,Kazakhstan
1,14,14,11,39,2018,Norway
2,14,10,7,31,2018,Germany
3,11,8,10,29,2018,Canada
4,9,8,6,23,2018,United States
5,8,6,6,20,2018,Netherlands
6,7,6,1,14,2018,Sweden
7,5,8,4,17,2018,South Korea
8,5,6,4,15,2018,Switzerland
9,5,4,6,15,2018,France
10,5,3,6,14,2018,Austria
11,4,5,4,13,2018,Japan
12,3,2,5,10,2018,Italy
13,2,6,9,17,2018,Olympic Athletes from RussiaB
14,2,2,3,7,2018,Czech Republic
15,2,1,0,3,2018,Belarus
16,1,6,2,9,2018,China
17,1,2,0,3,2018,Slovakia
18,1,1,4,6,2018,Finland
19,1,0,4,5,2018,Great Britain
20,1,0,1,2,2018,Poland
21,1,0,0,1,2018,Hungary
21,1,0,0,1,2018,Ukraine
23,0,2,1,3,2018,Australia
24,0,1,1,2,2018,Slovenia
25,0,1,0,1,2018,Belgium
26,0,0,2,2,2018,New Zealand
26,0,0,2,2,2018,Spain
28,0,0,1,1,2018,Kazakhstan
28,0,0,1,1,2018,Latvia
28,0,0,1,1,2018,Liechtenstein
1,16,8,13,37,2022,Norway
2,12,10,5,27,2022,Germany
3,9,9,7,25,2022,United States
4,9,4,2,15,2022,China
5,8,5,5,18,2022,Sweden
6,8,5,4,17,2022,Netherlands
7,7,7,4,18,2022,Austria
8,7,2,6,15,2022,Switzerland
9,5,12,15,32,2022,ROC
10,5,7,2,14,2022,France
11,4,8,14,26,2022,Canada
12,3,7,8,18,2022,Japan
13,2,7,8,17,2022,Italy
14,2,5,2,9,2022,South Korea
15,2,3,2,7,2022,Slovenia
16,2,2,4,8,2022,Finland
17,2,1,0,3,2022,New Zealand
18,1,2,1,4,2022,Australia
19,1,1,0,2,2022,Great Britain
20,1,0,2,3,2022,Hungary
21,1,0,1,2,2022,Belgium
21,1,0,1,2,2022,Czech Republic
21,1,0,1,2,2022,Slovakia
24,0,2,0,2,2022,Belarus
25,0,1,0,1,2022,Spain
25,0,1,0,1,2022,Ukraine
27,0,0,1,1,2022,Estonia
27,0,0,1,1,2022,Latvia
27,0,0,1,1,2022,Poland
1,8,3,7,18,2026,Norway
2,6,3,9,18,2026,Italy
3,4,7,3,14,2026,United States
4,4,5,1,10,2026,France
5,4,4,3,11,2026,Germany
6,4,3,1,8,2026,Sweden
7,4,1,2,7,2026,Switzerland
8,3,6,3,12,2026,Austria
9,3,3,8,14,2026,Japan
10,3,3,1,7,2026,Netherlands
11,2,2,0,4,2026,Czech Republic
12,2,1,0,3,2026,Australia
13,1,1,2,4,2026,South Korea
14,1,1,0,2,2026,Slovenia
15,1,0,0,1,2026,Great Britain
15,1,0,0,1,2026,Kazakhstan
17,0,3,4,7,2026,Canada
18,0,2,2,4,2026,China
19,0,2,0,2,2026,Poland
20,0,1,1,2,2026,New Zealand
21,0,1,0,1,2026,Latvia
22,0,0,2,2,2026,Bulgaria
23,0,0,1,1,2026,Belgium
23,0,0,1,1,2026,Finland
