Rank,Gold,Silver,Bronze,Total,CY,NOC
27,0,2,2,4,1956,Chile
28,0,2,0,2,1956,Belgium
29,0,1,1,2,1956,Argentina
29,0,1,1,2,1956,South Korea
31,0,1,0,1,1956,Iceland
31,0,1,0,1,1956,Pakistan
33,0,0,4,4,1956,South Africa
34,0,0,2,2,1956,Austria
35,0,0,1,1,1956,Bahamas
35,0,0,1,1,1956,Greece
35,0,0,1,1,1956,Switzerland
35,0,0,1,1,1956,Uruguay
1,43,29,31,103,1960,Soviet Union
2,34,21,16,71,1960,United States
3,13,10,13,36,1960,Italy
4,12,19,11,42,1960,United Team of Germany
5,8,8,6,22,1960,Australia
6,7,2,0,9,1960,Turkey
7,6,8,7,21,1960,Hungary
8,4,7,7,18,1960,Japan
9,4,6,11,21,1960,Poland
10,3,2,3,8,1960,Czechoslovakia
11,3,1,6,10,1960,Romania
12,2,6,12,20,1960,Great Britain
13,2,3,1,6,1960,Denmark
14,2,0,1,3,1960,New Zealand
15,1,3,3,7,1960,Bulgaria
16,1,2,3,6,1960,Sweden
17,1,1,3,5,1960,Finland
18,1,1,0,2,1960,Austria
18,1,1,0,2,1960,Yugoslavia
20,1,0,1,2,1960,Pakistan
21,1,0,0,1,1960,Ethiopia
21,1,0,0,1,1960,Greece
21,1,0,0,1,1960,Norway
24,0,3,3,6,1960,Switzerland
25,0,2,3,5,1960,France
26,0,2,2,4,1960,Belgium
27,0,1,3,4,1960,Iran
28,0,1,2,3,1960,Netherlands
28,0,1,2,3,1960,South Africa
30,0,1,1,2,1960,Argentina
30,0,1,1,2,1960,United Arab Republic
32,0,1,0,1,1960,Canada
32,0,1,0,1,1960,Formosa
32,0,1,0,1,1960,Ghana
32,0,1,0,1,1960,India
32,0,1,0,1,1960,Morocco
32,0,1,0,1,1960,Portugal
32,0,1,0,1,1960,Singapore
39,0,0,2,2,1960,Brazil
39,0,0,2,2,1960,British West Indies
41,0,0,1,1,1960,Iraq
41,0,0,1,1,1960,Mexico
41,0,0,1,1,1960,Spain
41,0,0,1,1,1960,Venezuela
1,36,26,28,90,1964,United States
2,30,31,35,96,1964,Soviet Union
3,16,5,8,29,1964,Japan
4,10,22,18,50,1964,United Team of GermanyA
5,10,10,7,27,1964,Italy
6,10,7,5,22,1964,Hungary
7,7,6,10,23,1964,Poland
8,6,2,10,18,1964,Australia
9,5,6,3,14,1964,Czechoslovakia
10,4,12,2,18,1964,Great Britain
11,3,5,2,10,1964,Bulgaria
12,3,0,2,5,1964,Finland
12,3,0,2,5,1964,New Zealand
14,2,4,6,12,1964,Romania
15,2,4,4,10,1964,Netherlands
16,2,3,1,6,1964,Turkey
17,2,2,4,8,1964,Sweden
18,2,1,3,6,1964,Denmark
19,2,1,2,5,1964,Yugoslavia
20,2,0,1,3,1964,Belgium
21,1,8,6,15,1964,France
22,1,2,1,4,1964,Canada
22,1,2,1,4,1964,Switzerland
24,1,0,0,1,1964,Bahamas
24,1,0,0,1,1964,Ethiopia
24,1,0,0,1,1964,India
27,0,2,1,3,1964,South Korea
28,0,1,2,3,1964,Trinidad and Tobago
29,0,1,1,2,1964,Tunisia
30,0,1,0,1,1964,Argentina
30,0,1,0,1,1964,Cuba
30,0,1,0,1,1964,Pakistan
30,0,1,0,1,1964,Philippines
34,0,0,2,2,1964,Iran
35,0,0,1,1,1964,Brazil
35,0,0,1,1,1964,Ghana
35,0,0,1,1,1964,Ireland
35,0,0,1,1,1964,Kenya
35,0,0,1,1,1964,Mexico
35,0,0,1,1,1964,Nigeria
35,0,0,1,1,1964,Uruguay
1,45,28,34,107,1968,United States
2,29,32,30,91,1968,Soviet Union
3,11,7,7,25,1968,Japan
4,10,10,12,32,1968,Hungary
5,9,9,7,25,1968,East Germany
6,7,3,5,15,1968,France
7,7,2,4,13,1968,Czechoslovakia
8,5,11,10,26,1968,West Germany
9,5,7,5,17,1968,Australia
10,5,5,3,13,1968,Great Britain
11,5,2,11,18,1968,Poland
12,4,6,5,15,1968,Romania
13,3,4,9,16,1968,Italy
14,3,4,2,9,1968,Kenya
15,3,3,3,9,1968,Mexico
16,3,3,2,8,1968,Yugoslavia
17,3,3,1,7,1968,Netherlands
18,2,4,3,9,1968,Bulgaria
19,2,1,2,5,1968,Iran
20,2,1,1,4,1968,Sweden
21,2,0,0,2,1968,Turkey
22,1,4,3,8,1968,Denmark
23,1,3,1,5,1968,Canada
24,1,2,1,4,1968,Finland
25,1,1,0,2,1968,Ethiopia
25,1,1,0,2,1968,Norway
27,1,0,2,3,1968,New Zealand
28,1,0,1,2,1968,Tunisia
29,1,0,0,1,1968,Pakistan
29,1,0,0,1,1968,Venezuela
31,0,4,0,4,1968,Cuba
32,0,2,2,4,1968,Austria
33,0,1,4,5,1968,Switzerland
34,0,1,3,4,1968,Mongolia
35,0,1,2,3,1968,Brazil
36,0,1,1,2,1968,Belgium
36,0,1,1,2,1968,South Korea
36,0,1,1,2,1968,Uganda
39,0,1,0,1,1968,Cameroon
39,0,1,0,1,1968,Jamaica
41,0,0,2,2,1968,Argentina
42,0,0,1,1,1968,Greece
42,0,0,1,1,1968,India
42,0,0,1,1,1968,Taiwan
1,50,27,22,99,1972,Soviet Union
2,33,31,30,94,1972,United States
3,20,23,23,66,1972,East Germany
4,13,11,16,40,1972,West Germany
5,13,8,8,29,1972,Japan
6,8,7,2,17,1972,Australia
7,7,5,9,21,1972,Poland
8,6,13,16,35,1972,Hungary
9,6,10,5,21,1972,Bulgaria
10,5,3,10,18,1972,Italy
11,4,6,6,16,1972,Sweden
12,4,5,9,18,1972,Great Britain
13,3,6,7,16,1972,Romania
14,3,1,4,8,1972,Cuba
14,3,1,4,8,1972,Finland
16,3,1,1,5,1972,Netherlands
17,2,4,7,13,1972,France
18,2,4,2,8,1972,Czechoslovakia
19,2,3,4,9,1972,Kenya
20,2,1,2,5,1972,Yugoslavia
21,2,1,1,4,1972,Norway
22,1,1,3,5,1972,North Korea
23,1,1,1,3,1972,New Zealand
24,1,1,0,2,1972,Uganda
25,1,0,0,1,1972,Denmark
26,0,3,0,3,1972,Switzerland
27,0,2,3,5,1972,Canada
28,0,2,1,3,1972,Iran
29,0,2,0,2,1972,Belgium
29,0,2,0,2,1972,Greece
31,0,1,2,3,1972,Austria
31,0,1,2,3,1972,Colombia
33,0,1,0,1,1972,Argentina
33,0,1,0,1,1972,Lebanon
33,0,1,0,1,1972,Mexico
33,0,1,0,1,1972,Mongolia
33,0,1,0,1,1972,Pakistan
33,0,1,0,1,1972,South Korea
33,0,1,0,1,1972,Tunisia
33,0,1,0,1,1972,Turkey
41,0,0,2,2,1972,Brazil
41,0,0,2,2,1972,Ethiopia
43,0,0,1,1,1972,Ghana
43,0,0,1,1,1972,India
43,0,0,1,1,1972,Jamaica
43,0,0,1,1,1972,Niger
43,0,0,1,1,1972,Nigeria
43,0,0,1,1,1972,Spain
1,49,41,35,125,1976,Soviet Union
2,40,25,25,90,1976,East Germany
3,34,35,25,94,1976,United States
4,10,12,17,39,1976,West Germany
5,9,6,10,25,1976,Japan
6,7,6,13,26,1976,Poland
7,6,9,7,22,1976,Bulgaria
8,6,4,3,13,1976,Cuba
9,4,9,14,27,1976,Romania
10,4,5,13,22,1976,Hungary
11,4,2,0,6,1976,Finland
12,4,1,0,5,1976,Sweden
13,3,5,5,13,1976,Great Britain
14,2,7,4,13,1976,Italy
15,2,3,4,9,1976,France
16,2,3,3,8,1976,Yugoslavia
17,2,2,4,8,1976,Czechoslovakia
18,2,1,1,4,1976,New Zealand
19,1,1,4,6,1976,South Korea
20,1,1,2,4,1976,Switzerland
21,1,1,0,2,1976,Jamaica
21,1,1,0,2,1976,North Korea
21,1,1,0,2,1976,Norway
24,1,0,2,3,1976,Denmark
25,1,0,1,2,1976,Mexico
26,1,0,0,1,1976,Trinidad and Tobago
27,0,5,6,11,1976,Canada
28,0,3,3,6,1976,Belgium
29,0,2,3,5,1976,Netherlands
30,0,2,0,2,1976,Portugal
30,0,2,0,2,1976,Spain
32,0,1,4,5,1976,Australia
33,0,1,1,2,1976,Iran
34,0,1,0,1,1976,Mongolia
34,0,1,0,1,1976,Venezuela
36,0,0,2,2,1976,Brazil
37,0,0,1,1,1976,Austria
37,0,0,1,1,1976,Bermuda
37,0,0,1,1,1976,Pakistan
37,0,0,1,1,1976,Puerto Rico
37,0,0,1,1,1976,Thailand
1,80,69,46,195,1980,Soviet Union
2,47,37,42,126,1980,East Germany
3,8,16,17,41,1980,Bulgaria
4,8,7,5,20,1980,Cuba
5,8,3,4,15,1980,Italy
6,7,10,15,32,1980,Hungary
7,6,6,13,25,1980,Romania
8,6,5,3,14,1980,France
9,5,7,9,21,1980,Great Britain
10,3,14,15,32,1980,Poland
11,3,3,6,12,1980,Sweden
12,3,1,4,8,1980,Finland
13,2,3,9,14,1980,Czechoslovakia
14,2,3,4,9,1980,Yugoslavia
15,2,2,5,9,1980,Australia
16,2,1,2,5,1980,Denmark
17,2,0,2,4,1980,Brazil
17,2,0,2,4,1980,Ethiopia
19,2,0,0,2,1980,Switzerland
20,1,3,2,6,1980,Spain
21,1,2,1,4,1980,Austria
22,1,0,2,3,1980,Greece
23,1,0,0,1,1980,Belgium
23,1,0,0,1,1980,India
23,1,0,0,1,1980,Zimbabwe
26,0,3,2,5,1980,North Korea
27,0,2,2,4,1980,Mongolia
28,0,2,0,2,1980,Tanzania
29,0,1,3,4,1980,Mexico
30,0,1,2,3,1980,Netherlands
31,0,1,1,2,1980,Ireland
32,0,1,0,1,1980,Uganda
32,0,1,0,1,1980,Venezuela
34,0,0,3,3,1980,Jamaica
35,0,0,1,1,1980,Guyana
35,0,0,1,1,1980,Lebanon
1,83,61,30,174,1984,United States
2,20,16,17,53,1984,Romania
3,17,19,23,59,1984,West Germany
4,15,8,9,32,1984,China
5,14,6,12,32,1984,Italy
6,10,18,16,44,1984,Canada
7,10,8,14,32,1984,Japan
8,8,1,2,11,1984,New Zealand
9,7,4,7,18,1984,Yugoslavia
10,6,6,7,19,1984,South Korea
11,5,11,21,37,1984,Great Britain
12,5,7,16,28,1984,France
13,5,2,6,13,1984,Netherlands
14,4,8,12,24,1984,Australia
15,4,2,6,12,1984,Finland
16,2,11,6,19,1984,Sweden
17,2,3,1,6,1984,Mexico
18,2,0,0,2,1984,Morocco
19,1,5,2,8,1984,Brazil
20,1,2,2,5,1984,Spain
21,1,1,2,4,1984,Belgium
22,1,1,1,3,1984,Austria
23,1,0,2,3,1984,Kenya
23,1,0,2,3,1984,Portugal
25,1,0,0,1,1984,Pakistan
26,0,4,4,8,1984,Switzerland
27,0,3,3,6,1984,Denmark
28,0,1,2,3,1984,Jamaica
28,0,1,2,3,1984,Norway
30,0,1,1,2,1984,Greece
30,0,1,1,2,1984,Nigeria
30,0,1,1,2,1984,Puerto Rico
33,0,1,0,1,1984,Colombia
33,0,1,0,1,1984,Egypt
33,0,1,0,1,1984,Ireland
33,0,1,0,1,1984,Ivory Coast
33,0,1,0,1,1984,Peru
33,0,1,0,1,1984,Syria
33,0,1,0,1,1984,Thailand
40,0,0,3,3,1984,Turkey
40,0,0,3,3,1984,Venezuela
42,0,0,2,2,1984,Algeria
43,0,0,1,1,1984,Cameroon
43,0,0,1,1,1984,Chinese Taipei
43,0,0,1,1,1984,Dominican Republic
43,0,0,1,1,1984,Iceland
43,0,0,1,1,1984,Zambia
1,55,31,46,132,1988,Soviet Union
2,37,35,30,102,1988,East Germany
3,36,31,27,94,1988,United States
4,12,10,11,33,1988,South Korea
5,11,14,15,40,1988,West Germany
6,11,6,6,23,1988,Hungary
7,10,12,13,35,1988,Bulgaria
8,7,11,6,24,1988,Romania
9,6,4,6,16,1988,France
10,6,4,4,14,1988,Italy
11,5,11,12,28,1988,China
12,5,10,9,24,1988,Great Britain
13,5,2,2,9,1988,Kenya
14,4,3,7,14,1988,Japan
15,3,6,5,14,1988,Australia
16,3,4,5,12,1988,Yugoslavia
17,3,3,2,8,1988,Czechoslovakia
18,3,2,8,13,1988,New Zealand
19,3,2,5,10,1988,Canada
20,2,5,9,16,1988,Poland
21,2,3,0,5,1988,Norway
22,2,2,5,9,1988,Netherlands
23,2,1,1,4,1988,Denmark
24,1,2,3,6,1988,Brazil
25,1,1,2,4,1988,Finland
25,1,1,2,4,1988,Spain
27,1,1,0,2,1988,Turkey
28,1,0,2,3,1988,Morocco
29,1,0,0,1,1988,Austria
29,1,0,0,1,1988,Portugal
29,1,0,0,1,1988,Suriname
32,0,4,7,11,1988,Sweden
33,0,2,2,4,1988,Switzerland
34,0,2,0,2,1988,Jamaica
35,0,1,1,2,1988,Argentina
36,0,1,0,1,1988,Chile
36,0,1,0,1,1988,Costa Rica
36,0,1,0,1,1988,Indonesia
36,0,1,0,1,1988,Iran
36,0,1,0,1,1988,Netherlands Antilles
36,0,1,0,1,1988,Peru
36,0,1,0,1,1988,Senegal
36,0,1,0,1,1988,Virgin Islands
44,0,0,2,2,1988,Belgium
44,0,0,2,2,1988,Mexico
46,0,0,1,1,1988,Colombia
46,0,0,1,1,1988,Djibouti
46,0,0,1,1,1988,Greece
46,0,0,1,1,1988,Mongolia
46,0,0,1,1,1988,Pakistan
46,0,0,1,1,1988,Philippines
46,0,0,1,1,1988,Thailand
1,45,38,29,112,1992,Unified Team
2,37,34,37,108,1992,United States
3,33,21,28,82,1992,Germany
4,16,22,16,54,1992,China
5,14,6,11,31,1992,Cuba
6,13,7,2,22,1992,Spain
7,12,5,12,29,1992,South Korea
8,11,12,7,30,1992,Hungary
9,8,5,16,29,1992,France
10,7,9,11,27,1992,Australia
11,7,4,7,18,1992,Canada
12,6,5,8,19,1992,Italy
13,5,3,12,20,1992,Great Britain
14,4,6,8,18,1992,Romania
15,4,2,1,7,1992,Czechoslovakia
16,4,0,5,9,1992,North Korea
17,3,8,11,22,1992,Japan
18,3,7,6,16,1992,Bulgaria
19,3,6,10,19,1992,Poland
20,2,6,7,15,1992,Netherlands
21,2,4,2,8,1992,Kenya
22,2,4,1,7,1992,Norway
23,2,2,2,6,1992,Turkey
24,2,2,1,5,1992,Indonesia
25,2,1,0,3,1992,Brazil
26,2,0,0,2,1992,Greece
27,1,7,4,12,1992,Sweden
28,1,4,5,10,1992,New Zealand
29,1,2,2,5,1992,Finland
30,1,1,4,6,1992,Denmark
31,1,1,1,3,1992,Morocco
32,1,1,0,2,1992,Ireland
33,1,0,2,3,1992,Ethiopia
34,1,0,1,2,1992,Algeria
34,1,0,1,2,1992,Estonia
34,1,0,1,2,1992,Lithuania
37,1,0,0,1,1992,Switzerland
38,0,3,1,4,1992,Jamaica
38,0,3,1,4,1992,Nigeria
40,0,2,1,3,1992,Latvia
41,0,2,0,2,1992,Austria
41,0,2,0,2,1992,Namibia
41,0,2,0,2,1992,South Africa
44,0,1,2,3,1992,Belgium
44,0,1,2,3,1992,Croatia
44,0,1,2,3,1992,Independent Olympic Participants
44,0,1,2,3,1992,Iran
48,0,1,1,2,1992,Israel
49,0,1,0,1,1992,Chinese Taipei
49,0,1,0,1,1992,Mexico
49,0,1,0,1,1992,Peru
52,0,0,2,2,1992,Mongolia
52,0,0,2,2,1992,Slovenia
54,0,0,1,1,1992,Argentina
54,0,0,1,1,1992,Bahamas
54,0,0,1,1,1992,Colombia
54,0,0,1,1,1992,Ghana
54,0,0,1,1,1992,Malaysia
54,0,0,1,1,1992,Pakistan
54,0,0,1,1,1992,Philippines
54,0,0,1,1,1992,Puerto Rico
54,0,0,1,1,1992,Qatar
54,0,0,1,1,1992,Suriname
54,0,0,1,1,1992,Thailand
1,44,32,25,101,1996,United States
2,26,21,16,63,1996,Russia
3,20,18,27,65,1996,Germany
4,16,22,12,50,1996,China
5,15,7,15,37,1996,France
6,13,10,12,35,1996,Italy
7,9,9,23,41,1996,Australia
8,9,8,8,25,1996,Cuba
9,9,2,12,23,1996,Ukraine
10,7,15,5,27,1996,South Korea
11,7,5,5,17,1996,Poland
12,7,4,10,21,1996,Hungary
13,5,6,6,17,1996,Spain
14,4,7,9,20,1996,Romania
15,4,5,10,19,1996,Netherlands
16,4,4,0,8,1996,Greece
17,4,3,4,11,1996,Czech Republic
18,4,3,0,7,1996,Switzerland
19,4,1,1,6,1996,Denmark
19,4,1,1,6,1996,Turkey
21,3,11,8,22,1996,Canada
22,3,7,5,15,1996,Bulgaria
23,3,6,5,14,1996,Japan
24,3,4,4,11,1996,Kazakhstan
25,3,3,9,15,1996,Brazil
26,3,2,1,6,1996,New Zealand
27,3,1,1,5,1996,South Africa
28,3,0,1,4,1996,Ireland
29,2,4,2,8,1996,Sweden
30,2,2,3,7,1996,Norway
31,2,2,2,6,1996,Belgium
32,2,1,3,6,1996,Nigeria
33,2,1,2,5,1996,North Korea
34,2,0,1,3,1996,Algeria
34,2,0,1,3,1996,Ethiopia
36,1,8,6,15,1996,Great Britain
37,1,6,8,15,1996,Belarus
38,1,4,3,8,1996,Kenya
39,1,3,2,6,1996,Jamaica
40,1,2,1,4,1996,Finland
41,1,1,2,4,1996,FR Yugoslavia
41,1,1,2,4,1996,Indonesia
43,1,1,1,3,1996,Iran
43,1,1,1,3,1996,Slovakia
45,1,1,0,2,1996,Armenia
45,1,1,0,2,1996,Croatia
47,1,0,1,2,1996,Portugal
47,1,0,1,2,1996,Thailand
49,1,0,0,1,1996,Burundi
49,1,0,0,1,1996,Costa Rica
49,1,0,0,1,1996,Ecuador
49,1,0,0,1,1996,Hong Kong
49,1,0,0,1,1996,Syria
54,0,2,1,3,1996,Argentina
55,0,2,0,2,1996,Namibia
55,0,2,0,2,1996,Slovenia
57,0,1,2,3,1996,Austria
58,0,1,1,2,1996,Malaysia
58,0,1,1,2,1996,Moldova
58,0,1,1,2,1996,Uzbekistan
61,0,1,0,1,1996,Azerbaijan
61,0,1,0,1,1996,Bahamas
61,0,1,0,1,1996,Chinese Taipei
61,0,1,0,1,1996,Latvia
61,0,1,0,1,1996,Philippines
61,0,1,0,1,1996,Tonga
61,0,1,0,1,1996,Zambia
68,0,0,2,2,1996,Georgia
68,0,0,2,2,1996,Morocco
68,0,0,2,2,1996,Trinidad and Tobago
71,0,0,1,1,1996,India
71,0,0,1,1,1996,Israel
71,0,0,1,1,1996,Lithuania
71,0,0,1,1,1996,Mexico
71,0,0,1,1,1996,Mongolia
71,0,0,1,1,1996,Mozambique
71,0,0,1,1,1996,Puerto Rico
71,0,0,1,1,1996,Tunisia
71,0,0,1,1,1996,Uganda
1,37,24,32,93,2000,United States
2,32,28,29,89,2000,Russia
3,28,16,14,58,2000,China
4,16,25,17,58,2000,Australia
5,13,17,26,56,2000,Germany
6,13,14,11,38,2000,France
7,13,8,13,34,2000,Italy
8,12,9,4,25,2000,Netherlands
9,11,11,7,29,2000,Cuba
10,11,10,7,28,2000,Great Britain
11,11,6,9,26,2000,Romania
12,8,10,10,28,2000,South Korea
13,8,6,3,17,2000,Hungary
14,6,5,3,14,2000,Poland
15,5,8,5,18,2000,Japan
16,5,6,2,13,2000,Bulgaria
17,4,6,3,13,2000,Greece
18,4,5,3,12,2000,Sweden
19,4,3,3,10,2000,Norway
20,4,1,3,8,2000,Ethiopia
21,3,10,10,23,2000,Ukraine
22,3,4,0,7,2000,Kazakhstan
23,3,3,11,17,2000,Belarus
24,3,3,8,14,2000,Canada
25,3,3,5,11,2000,Spain
26,3,0,2,5,2000,Turkey
27,3,0,1,4,2000,Iran
28,2,3,3,8,2000,Czech Republic
29,2,3,2,7,2000,Kenya
30,2,3,1,6,2000,Denmark
31,2,1,1,4,2000,Finland
32,2,1,0,3,2000,Austria
33,2,0,3,5,2000,Lithuania
34,2,0,1,3,2000,Azerbaijan
34,2,0,1,3,2000,Bahamas
36,2,0,0,2,2000,Slovenia
37,1,6,2,9,2000,Switzerland
38,1,3,2,6,2000,Indonesia
39,1,3,1,5,2000,Slovakia
40,1,2,3,6,2000,Mexico
41,1,2,0,3,2000,Nigeria
42,1,1,3,5,2000,Algeria
43,1,1,2,4,2000,Uzbekistan
44,1,1,1,3,2000,FR Yugoslavia
44,1,1,1,3,2000,Latvia
46,1,0,3,4,2000,New Zealand
47,1,0,2,3,2000,Estonia
47,1,0,2,3,2000,Thailand
49,1,0,1,2,2000,Croatia
50,1,0,0,1,2000,Cameroon
50,1,0,0,1,2000,Colombia
50,1,0,0,1,2000,Mozambique
53,0,6,6,12,2000,Brazil
54,0,6,3,9,2000,Jamaica
55,0,2,3,5,2000,Belgium
55,0,2,3,5,2000,South Africa
57,0,2,2,4,2000,Argentina
58,0,1,4,5,2000,Chinese Taipei
58,0,1,4,5,2000,Morocco
60,0,1,3,4,2000,North Korea
61,0,1,1,2,2000,Moldova
61,0,1,1,2,2000,Saudi Arabia
61,0,1,1,2,2000,Trinidad and Tobago
64,0,1,0,1,2000,Ireland
64,0,1,0,1,2000,Sri Lanka
64,0,1,0,1,2000,Uruguay
64,0,1,0,1,2000,Vietnam
68,0,0,6,6,2000,Georgia
69,0,0,2,2,2000,Costa Rica
69,0,0,2,2,2000,Portugal
71,0,0,1,1,2000,Armenia
71,0,0,1,1,2000,Barbados
71,0,0,1,1,2000,Chile
71,0,0,1,1,2000,Iceland
71,0,0,1,1,2000,India
71,0,0,1,1,2000,Israel
71,0,0,1,1,2000,Kuwait
71,0,0,1,1,2000,Kyrgyzstan
71,0,0,1,1,2000,Macedonia
71,0,0,1,1,2000,Qatar
1,36,39,26,101,2004,United States
2,32,17,14,63,2004,China
3,28,26,36,90,2004,Russia
4,17,16,17,50,2004,Australia
5,16,9,12,37,2004,Japan
6,13,16,20,49,2004,Germany
7,11,9,13,33,2004,France
8,10,11,11,32,2004,Italy
9,9,12,9,30,2004,South Korea
10,9,9,12,30,2004,Great Britain
11,9,7,11,27,2004,Cuba
12,8,6,3,17,2004,Hungary
13,8,5,9,22,2004,Ukraine
14,8,5,6,19,2004,Romania
15,6,6,4,16,2004,Greece
16,5,2,3,10,2004,Brazil
17,5,0,1,6,2004,Norway
18,4,9,9,22,2004,Netherlands
19,4,2,1,7,2004,Sweden
20,3,11,6,20,2004,Spain
21,3,6,3,12,2004,Canada
22,3,3,4,10,2004,Turkey
23,3,2,5,10,2004,Poland
24,3,2,0,5,2004,New Zealand
25,3,1,4,8,2004,Thailand
26,2,5,6,13,2004,Belarus
27,2,4,1,7,2004,Austria
28,2,3,2,7,2004,Ethiopia
29,2,2,2,6,2004,Iran
29,2,2,2,6,2004,Slovakia
31,2,2,1,5,2004,Chinese Taipei
32,2,2,0,4,2004,Georgia
33,2,1,9,12,2004,Bulgaria
34,2,1,5,8,2004,Denmark
35,2,1,2,5,2004,Jamaica
35,2,1,2,5,2004,Uzbekistan
37,2,1,0,3,2004,Morocco
38,2,0,4,6,2004,Argentina
39,2,0,1,3,2004,Chile
40,1,4,3,8,2004,Kazakhstan
41,1,4,2,7,2004,Kenya
42,1,3,5,9,2004,Czech Republic
43,1,3,2,6,2004,South Africa
44,1,2,2,5,2004,Croatia
45,1,2,0,3,2004,Lithuania
46,1,1,3,5,2004,Egypt
46,1,1,3,5,2004,Switzerland
48,1,1,2,4,2004,Indonesia
49,1,1,1,3,2004,Zimbabwe
50,1,0,4,5,2004,Azerbaijan
51,1,0,2,3,2004,Belgium
52,1,0,1,2,2004,Bahamas
52,1,0,1,2,2004,Israel
54,1,0,0,1,2004,Cameroon
54,1,0,0,1,2004,Dominican Republic
54,1,0,0,1,2004,United Arab Emirates
57,0,4,1,5,2004,North Korea
58,0,4,0,4,2004,Latvia
59,0,3,1,4,2004,Mexico
60,0,2,1,3,2004,Portugal
61,0,2,0,2,2004,Finland
61,0,2,0,2,2004,Serbia and Montenegro
63,0,1,3,4,2004,Slovenia
64,0,1,2,3,2004,Estonia
65,0,1,0,1,2004,Hong Kong
65,0,1,0,1,2004,India
65,0,1,0,1,2004,Paraguay
68,0,0,2,2,2004,Colombia
68,0,0,2,2,2004,Nigeria
68,0,0,2,2,2004,Venezuela
71,0,0,1,1,2004,Eritrea
